DataStructure,Operation,DataSize,Time_Microseconds,Memory_KB
TreeMap,Random_Delete,10000,397,0
RedBlackTree,Random_Delete,10000,368,175
BPlusTree_8,Random_Delete,10000,2933,0
BPlusTree_16,Random_Delete,10000,4108,0
BPlusTree_32,Random_Delete,10000,3564,0
BPlusTree_128,Random_Delete,10000,3336,0
BPlusTree_256,Random_Delete,10000,3952,0
HashMap,Random_Delete,100000,1257,2048
TreeMap,Random_Delete,100000,6907,0
RedBlackTree,Random_Delete,100000,6428,2662
BPlusTree_8,Random_Delete,100000,32279,0
BPlusTree_16,Random_Delete,100000,44343,0
BPlusTree_32,Random_Delete,100000,39158,0
BPlusTree_128,Random_Delete,100000,34562,0
BPlusTree_256,Random_Delete,100000,35943,0
HashMap,Random_Delete,1000000,28074,10240
TreeMap,Random_Delete,1000000,131173,0
RedBlackTree,Random_Delete,1000000,126712,13838
BPlusTree_8,Random_Delete,1000000,421074,0
BPlusTree_16,Random_Delete,1000000,507632,0
BPlusTree_32,Random_Delete,1000000,504306,0
BPlusTree_128,Random_Delete,1000000,495155,0
BPlusTree_256,Random_Delete,1000000,497374,0
HashMap,Full_Iteration,100,14,0
TreeMap,Full_Iteration,100,4,0
RedBlackTree,Full_Iteration,100,22,0
BPlusTree_8,Full_Iteration,100,10,1
BPlusTree_16,Full_Iteration,100,3,0
BPlusTree_32,Full_Iteration,100,1,0
BPlusTree_128,Full_Iteration,100,1,0
BPlusTree_256,Full_Iteration,100,1,0
HashMap,Full_Iteration,1000,20,0
TreeMap,Full_Iteration,1000,19,0
RedBlackTree,Full_Iteration,1000,56,0
BPlusTree_8,Full_Iteration,1000,8,0
BPlusTree_16,Full_Iteration,1000,7,0
BPlusTree_32,Full_Iteration,1000,7,0
BPlusTree_128,Full_Iteration,1000,7,0
BPlusTree_256,Full_Iteration,1000,11,0
HashMap,Full_Iteration,10000,155,0
TreeMap,Full_Iteration,10000,99,0
RedBlackTree,Full_Iteration,10000,434,0
BPlusTree_8,Full_Iteration,10000,103,0
BPlusTree_16,Full_Iteration,10000,73,0
BPlusTree_32,Full_Iteration,10000,169,0
BPlusTree_128,Full_Iteration,10000,42,0
